Scientific name,Authority,Year,CommonName,TypeLoc
"Chiloscyllium arabicum  Goubanov, 1980","Goubanov, 1980",1980,Arabian Carpet Shark,Persian Gulf
"Bathyraja irrasa  Hureau & Ozouf-Costaz, 1980","Hureau & Ozouf-Costaz, 1980",1980,Kerguelen Skate,Kerguelen Islands
"Gurgesiella dorsalifera  McEachran & Compagno, 1980","McEachran & Compagno, 1980",1980,Onefin Skate,SW Atlantic
"Hexatrygon bickelli Heemstra & Smith, 1980","Heemstra & Smith, 1980",1980,Sixgill Stingray,"Port Elizabeth, South Africa"
"Centrophorus isodon  (Chu, Meng & Liu, 1981)","(Chu, Meng & Liu, 1981)",1981,Blackfin Gulper Shark,South China Sea
"Apristurus sinensis Chu & Hu, 1981   ","Chu & Hu, 1981",1981,South China Catshark,South China Sea
"Bythaelurus immaculatus  (Chu & Meng, 1982)","(Chu & Meng, 1982)",1982,Spotless Catshark,South China Sea
"Carcharhinus wheeleri  Garrick, 1982","Garrick, 1982",1982,,Red Sea
"Pavoraja alleni  McEachran & Fechhelm, 1982","McEachran & Fechhelm, 1982",1982,Allen's Skate,"Western Australia, Australia"
"Okamejei heemstrai  (McEachran & Fechhelm, 1982)","(McEachran & Fechhelm, 1982)",1982,Narrow Skate,Kenya
"Sinobatis stenosoma  (Li & Hu, 1982)","(Li & Hu, 1982)",1982,Narrow Legskate,South China Sea
"Fluvitrygon signifer  (Compagno & Roberts, 1982)","(Compagno & Roberts, 1982)",1982,White-edge Whipray,"Kalimantan, Indonesia"
"Chiloscyllium burmense  Dingerkus & DeFino, 1983","Dingerkus & DeFino, 1983",1983,Burmese Bamboo Shark,"Rangoon, Burma"
"Megachasma pelagios  Taylor, Compagno & Struhsaker, 1983","Taylor, Compagno & Struhsaker, 1983",1983,Megamouth Shark,Hawaii
"Apristurus fedorovi  Dolganov, 1983","Dolganov, 1983",1983,Stout Catshark,Japan
"Apristurus pinguis  Deng, Xiong & Zhan, 1983","Deng, Xiong & Zhan, 1983",1983,Bulldog Catshark,East China Sea
"Bathyraja andriashevi  Dolganov, 1983","Dolganov, 1983",1983,Little-eye Skate,Japan
"Bathyraja bergi  Dolganov, 1983","Dolganov, 1983",1983,Bottom Skate,"Sakhalin Island, Russia"
"Bathyraja fedorovi  Dolganov, 1983","Dolganov, 1983",1983,Cinnamon Skate,western Pacific
"Bathyraja taranetzi  (Dolganov, 1983)","(Dolganov, 1983)",1983,Mud Skate,"Kuril Islands, NW Pacific"
"Bathyraja tzinovskii  Dolganov, 1983","Dolganov, 1983",1983,Creamback Skate,Japan
"Psammobatis lentiginosa  McEachran, 1983","McEachran, 1983",1983,Freckle Sandskate,Uruguay
"Psammobatis normani  McEachran, 1983","McEachran, 1983",1983,Shortfin Sandskate,SW Atlantic
"Psammobatis parvacauda  McEachran, 1983","McEachran, 1983",1983,Smalltail Sandskate,SW Atlantic
"Neoraja africana  (Stehmann & S�ret, 1983)","(Stehmann & S�ret, 1983)",1983,West African Dwarf Skate,Gabon
"Squalus acutirostris  Chu, Meng & Li, 1984","Chu, Meng & Li, 1984",1984,,China
"Scymnodon ichiharai  Yano & Tanaka, 1984","Yano & Tanaka, 1984",1984,Japanese Velvet Dogfish,"Suruga Bay, Japan"
"Mollisquama parini  Dolganov, 1984","Dolganov, 1984",1984,Pocket Shark,"Nazca Ridge, Eastern Pacific"
"Diplobatis colombiensis  Fechhelm & McEachran, 1984"," & McEachran, 1984",1984,Colombian Dwarf Numbfish,Colombia
"Bathyraja peruana  McEachran & Miyake, 1984","McEachran & Miyake, 1984",1984,Peruvian Skate,Peru
"Neoraja carolinensis  McEachran & Stehmann, 1984","McEachran & Stehmann, 1984",1984,Carolina Dwarf Skate,"North Carolina, USA"
"Fontitrygon margaritella  (Compagno & Roberts, 1984)","(Compagno & Roberts, 1984)",1984,Pearl Whipray,Cameroon
"Etmopterus carteri  Springer & Burgess, 1985","Springer & Burgess, 1985",1985,Cylindrical Lanternshark,Colombia
"Etmopterus perryi  Springer & Burgess, 1985","Springer & Burgess, 1985",1985,Dwarf Lanternshark,Colombia
"Oxynotus japonicus  Yano & Murofushi, 1985","Yano & Murofushi, 1985",1985,Japanese Roughshark,"Suruga Bay, Japan"
"Apristurus gibbosus  Meng, Chu & Li, 1985","Meng, Chu & Li, 1985",1985,Humpback Catshark,South China Sea
"Apristurus macrostomus  Chu, Meng & Li, 1985","Chu, Meng & Li, 1985",1985,Broadmouth Catshark,South China Sea
"Parmaturus macmillani  Hardy, 1985","Hardy, 1985",1985,New Zealand Filetail,New Zealand
"Paragaleus leucolomatus  Compagno & Smale, 1985","Compagno & Smale, 1985",1985,Whitetip Weasel Shark,"Natal, South Africa"
